Name,Dont Use,Position,Team,Age
Ja'Marr Chase,WR1,WR,CIN,25
Justin Jefferson,WR2,WR,MIN,26
Malik Nabers,WR3,WR,NYG,22
CeeDee Lamb,WR4,WR,DAL,26
Bijan Robinson,RB1,RB,ATL,23
Jahmyr Gibbs,RB2,RB,DET,23
Puka Nacua,WR5,WR,LAR,24
Brian Thomas Jr.,WR6,WR,JAC,22
Ashton Jeanty,RB3,RB,LV,21
Amon-Ra St. Brown,WR7,WR,DET,25
Nico Collins,WR8,WR,HOU,26
Drake London,WR9,WR,ATL,24
Saquon Barkley,RB4,RB,PHI,28
De'Von Achane,RB5,RB,MIA,23
Brock Bowers,TE1,TE,LV,22
Ladd McConkey,WR10,WR,LAC,23
Garrett Wilson,WR11,WR,NYJ,25
Jaxon Smith-Njigba,WR12,WR,SEA,23
A.J. Brown,WR13,WR,PHI,28
Omarion Hampton,RB6,RB,LAC,22
Marvin Harrison Jr.,WR14,WR,ARI,23
Josh Allen,QB1,QB,BUF,29
Tetairoa McMillan,WR15,WR,CAR,22
Bucky Irving,RB7,RB,TB,23
Lamar Jackson,QB2,QB,BAL,28
Breece Hall,RB8,RB,NYJ,24
Trey McBride,TE2,TE,ARI,25
Travis Hunter,WR16,WR,JAC,22
Jonathan Taylor,RB9,RB,IND,26
Tee Higgins,WR17,WR,CIN,26
Jayden Daniels,QB3,QB,WAS,24
Rashee Rice,WR18,WR,KC,25
DeVonta Smith,WR19,WR,PHI,26
Zay Flowers,WR20,WR,BAL,24
Jalen Hurts,QB4,QB,PHI,27
Joe Burrow,QB5,QB,CIN,28
Sam LaPorta,TE3,TE,DET,24
Rome Odunze,WR21,WR,CHI,23
Kyren Williams,RB10,RB,LAR,24
Chase Brown,RB11,RB,CIN,25
DK Metcalf,WR22,WR,PIT,27
Xavier Worthy,WR23,WR,KC,22
James Cook,RB12,RB,BUF,25
Jordan Addison,WR24,WR,MIN,23
TreVeyon Henderson,RB13,RB,NE,22
Patrick Mahomes II,QB6,QB,KC,29
Josh Jacobs,RB14,RB,GB,27
Jaylen Waddle,WR25,WR,MIA,26
Kenneth Walker III,RB15,RB,SEA,24
DJ Moore,WR26,WR,CHI,28
Justin Herbert,QB7,QB,LAC,27
Jameson Williams,WR27,WR,DET,24
Emeka Egbuka,WR28,WR,TB,22
Christian McCaffrey,RB16,RB,SF,29
Terry McLaurin,WR29,WR,WAS,29
Chris Olave,WR30,WR,NO,25
George Kittle,TE4,TE,SF,31
Tyler Warren,TE5,TE,IND,23
Bo Nix,QB8,QB,DEN,25
T.J. Hockenson,TE6,TE,MIN,28
George Pickens,WR31,WR,DAL,24
Colston Loveland,TE7,TE,CHI,21
Drake Maye,QB9,QB,NE,22
Derrick Henry,RB17,RB,BAL,31
RJ Harvey,RB18,RB,DEN,24
Kaleb Johnson,RB19,RB,PIT,22
C.J. Stroud,QB10,QB,HOU,23
Caleb Williams,QB11,QB,CHI,23
Jerry Jeudy,WR32,WR,CLE,26
Matthew Golden,WR33,WR,GB,22
Quinshon Judkins,RB20,RB,CLE,21
Tyreek Hill,WR34,WR,MIA,31
Davante Adams,WR35,WR,LAR,32
Mark Andrews,TE8,TE,BAL,29
Jordan Love,QB12,QB,GB,26
Chuba Hubbard,RB21,RB,CAR,26
Luther Burden III,WR36,WR,CHI,21
Mike Evans,WR37,WR,TB,32
Tucker Kraft,TE9,TE,GB,24
David Njoku,TE10,TE,CLE,29
Brandon Aiyuk,WR38,WR,SF,27
Kyler Murray,QB13,QB,ARI,28
Jayden Higgins,WR39,WR,HOU,22
David Montgomery,RB22,RB,DET,28
Dalton Kincaid,TE11,TE,BUF,25
Ricky Pearsall,WR40,WR,SF,24
Baker Mayfield,QB14,QB,TB,30
Josh Downs,WR41,WR,IND,24
Courtland Sutton,WR42,WR,DEN,29
Alvin Kamara,RB23,RB,NO,30
Tre' Harris,WR43,WR,LAC,23
Joe Mixon,RB24,RB,HOU,29
Jayden Reed,WR44,WR,GB,25
Khalil Shakir,WR45,WR,BUF,25
Chris Godwin,WR46,WR,TB,29
Brock Purdy,QB15,QB,SF,25
Tony Pollard,RB25,RB,TEN,28
Michael Pittman Jr.,WR47,WR,IND,27
D'Andre Swift,RB26,RB,CHI,26
Evan Engram,TE12,TE,DEN,30
Isiah Pacheco,RB27,RB,KC,26
Tyrone Tracy Jr.,RB28,RB,NYG,25
Brian Robinson Jr.,RB29,RB,WAS,26
Trevor Lawrence,QB16,QB,JAC,25
Calvin Ridley,WR48,WR,TEN,30
J.J. McCarthy,QB17,QB,MIN,22
Keon Coleman,WR49,WR,BUF,22
Jauan Jennings,WR50,WR,SF,28
Jakobi Meyers,WR51,WR,LV,28
Dak Prescott,QB18,QB,DAL,32
James Conner,RB30,RB,ARI,30
Deebo Samuel Sr.,WR52,WR,WAS,29
Cam Skattebo,RB31,RB,NYG,23
Jared Goff,QB19,QB,DET,30
Travis Kelce,TE13,TE,KC,35
Kyle Pitts Sr.,TE14,TE,ATL,24
Travis Etienne Jr.,RB32,RB,JAC,26
Cameron Ward,QB20,QB,TEN,23
Jalen McMillan,WR53,WR,TB,23
Aaron Jones Sr.,RB33,RB,MIN,30
Stefon Diggs,WR54,WR,NE,31
Jack Bech,WR55,WR,LV,22
Darnell Mooney,WR56,WR,ATL,27
Bhayshul Tuten,RB34,RB,JAC,23
Jake Ferguson,TE15,TE,DAL,26
Zach Charbonnet,RB35,RB,SEA,24
Michael Penix Jr.,QB21,QB,ATL,25
Kyle Williams,WR57,WR,NE,22
Trey Benson,RB36,RB,ARI,23
Isaiah Likely,TE16,TE,BAL,25
Cooper Kupp,WR58,WR,SEA,32
Mason Taylor,TE17,TE,NYJ,21
Najee Harris,RB37,RB,LAC,27
Dallas Goedert,TE18,TE,PHI,30
Bryce Young,QB22,QB,CAR,24
Rashid Shaheed,WR59,WR,NO,26
Jaylin Noel,WR60,WR,HOU,22
Jonnu Smith,TE19,TE,PIT,30
Justin Fields,QB23,QB,NYJ,26
Christian Kirk,WR61,WR,HOU,28
Cedric Tillman,WR62,WR,CLE,25
Jaylen Warren,RB38,RB,PIT,26
Tua Tagovailoa,QB24,QB,MIA,27
Marvin Mims Jr.,WR63,WR,DEN,23
Rhamondre Stevenson,RB39,RB,NE,27
Rashod Bateman,WR64,WR,BAL,25
Xavier Legette,WR65,WR,CAR,24
Romeo Doubs,WR66,WR,GB,25
Tyjae Spears,RB40,RB,TEN,24
Tank Bigsby,RB41,RB,JAC,22
Marquise Brown,WR67,WR,KC,28
Sam Darnold,QB25,QB,SEA,28
Pat Freiermuth,TE20,TE,PIT,26
Rachaad White,RB42,RB,TB,26
Javonte Williams,RB43,RB,DAL,25
Jordan Mason,RB44,RB,MIN,26
Braelon Allen,RB45,RB,NYJ,21
Harold Fannin Jr.,TE21,TE,CLE,21
Jaxson Dart,QB26,QB,NYG,22
Elic Ayomanor,WR68,WR,TEN,22
Jaydon Blue,RB46,RB,DAL,21
Wan'Dale Robinson,WR69,WR,NYG,24
Quentin Johnston,WR70,WR,LAC,23
Cade Otton,TE22,TE,TB,26
Elijah Arroyo,TE23,TE,SEA,22
Tank Dell,WR71,WR,HOU,25
Jalen Royals,WR72,WR,KC,22
Adonai Mitchell,WR73,WR,IND,22
Isaac Guerendo,RB47,RB,SF,25
Joshua Palmer,WR74,WR,BUF,25
Terrance Ferguson,TE24,TE,LAR,22
Ray Davis,RB48,RB,BUF,25
Jaylen Wright,RB49,RB,MIA,22
Matthew Stafford,QB27,QB,LAR,37
Anthony Richardson Sr.,QB28,QB,IND,23
Geno Smith,QB29,QB,LV,34
Dylan Sampson,RB50,RB,CLE,20
Hunter Henry,TE25,TE,NE,30
Christian Watson,WR75,WR,GB,26
Jalen Coker,WR76,WR,CAR,23
DeMario Douglas,WR77,WR,NE,24
Ja'Tavion Sanders,TE26,TE,CAR,22
Brenton Strange,TE27,TE,JAC,24
J.K. Dobbins,RB51,RB,DEN,26
Dontayvion Wicks,WR78,WR,GB,24
Pat Bryant,WR79,WR,DEN,22
Theo Johnson,TE28,TE,NYG,24
Cole Kmet,TE29,TE,CHI,26
Blake Corum,RB52,RB,LAR,24
Chig Okonkwo,TE30,TE,TEN,25
Jarquez Hunter,RB53,RB,LAR,22
Jonathon Brooks,RB54,RB,CAR,22
Rico Dowdle,RB55,RB,CAR,27
DeAndre Hopkins,WR80,WR,BAL,33
Jerome Ford,RB56,RB,CLE,25
Mike Gesicki,TE31,TE,CIN,29
DJ Giddens,RB57,RB,IND,21
Tyler Allgeier,RB58,RB,ATL,25
MarShawn Lloyd,RB59,RB,GB,24
Alec Pierce,WR81,WR,IND,25
Ben Sinnott,TE32,TE,WAS,23
Keenan Allen,WR82,WR,LAC,33
Diontae Johnson,WR83,WR,CLE,29
Michael Wilson,WR84,WR,ARI,25
Zach Ertz,TE33,TE,WAS,34
Troy Franklin,WR85,WR,DEN,22
Dalton Schultz,TE34,TE,HOU,29
Roman Wilson,WR86,WR,PIT,24
Tory Horton,WR87,WR,SEA,22
Jalen Milroe,QB30,QB,SEA,22
Tyler Shough,QB31,QB,NO,25
Amari Cooper,WR88,WR,FA,31
Adam Thielen,WR89,WR,CAR,35
Savion Williams,WR90,WR,GB,23
Nick Chubb,RB60,RB,HOU,29
Roschon Johnson,RB61,RB,CHI,24
Devin Neal,RB62,RB,NO,22
Andrei Iosivas,WR91,WR,CIN,25
Isaac TeSlaa,WR92,WR,DET,23
Elijah Moore,WR93,WR,BUF,25
Russell Wilson,QB32,QB,NYG,36
Tahj Brooks,RB63,RB,CIN,23
Kendre Miller,RB64,RB,NO,23
Devaughn Vele,WR94,WR,DEN,27
Jordan Whittington,WR95,WR,LAR,24
Austin Ekeler,RB65,RB,WAS,30
Tyler Lockett,WR96,WR,TEN,32
Will Shipley,RB66,RB,PHI,22
Brashard Smith,RB67,RB,KC,22
Oronde Gadsden II,TE35,TE,LAC,22
Juwan Johnson,TE36,TE,NO,28
Darius Slayton,WR97,WR,NYG,28
Jalen Tolbert,WR98,WR,DAL,26
Luke McCaffrey,WR99,WR,WAS,24
Woody Marks,RB68,RB,HOU,24
Malik Washington,WR100,WR,MIA,24
Ollie Gordon II,RB69,RB,MIA,21
Audric Estime,RB70,RB,DEN,21
Shedeur Sanders,QB33,QB,CLE,23
Kayshon Boutte,WR101,WR,NE,23
Trevor Etienne,RB71,RB,CAR,21
Jordan James,RB72,RB,SF,21
Ja'Lynn Polk,WR102,WR,NE,23
Jaleel McLaughlin,RB73,RB,DEN,24
Daniel Jones,QB34,QB,IND,28
Jermaine Burton,WR103,WR,CIN,24
Kyle Monangai,RB74,RB,CHI,23
Noah Fant,TE37,TE,CIN,27
Michael Mayer,TE38,TE,LV,24
Calvin Austin III,WR104,WR,PIT,26
Noah Gray,TE39,TE,KC,26
Dyami Brown,WR105,WR,JAC,25
Aaron Rodgers,QB35,QB,PIT,41
Damien Martinez,RB75,RB,SEA,21
Dont'e Thornton Jr.,WR106,WR,LV,22
Jacory Croskey-Merritt,RB76,RB,WAS,24
Devin Singletary,RB77,RB,NYG,27
Keaton Mitchell,RB78,RB,BAL,23
Tai Felton,WR107,WR,MIN,22
Parker Washington,WR108,WR,JAC,23
Brandin Cooks,WR109,WR,NO,31
Xavier Restrepo,WR110,WR,TEN,23
Kareem Hunt,RB79,RB,KC,30
Isaiah Davis,RB80,RB,NYJ,23
Miles Sanders,RB81,RB,DAL,28
Tez Johnson,WR111,WR,TB,23
Antonio Gibson,RB82,RB,NE,27
Luke Musgrave,TE40,TE,GB,24
Kirk Cousins,QB36,QB,ATL,37
Tyler Higbee,TE41,TE,LAR,32
Elijah Mitchell,RB83,RB,KC,27
Justice Hill,RB84,RB,BAL,27
Javon Baker,WR112,WR,NE,23
Will Dissly,TE42,TE,LAC,29
Brandon Aubrey,K1,K,DAL,30
Tyler Conklin,TE43,TE,LAC,30
Gunnar Helm,TE44,TE,TEN,22
Nick Westbrook-Ikhine,WR113,WR,MIA,28
Pittsburgh Steelers,DST1,DST,PIT,-
Philadelphia Eagles,DST2,DST,PHI,-
Tutu Atwell,WR114,WR,LAR,25
Khalil Herbert,RB85,RB,IND,27
Tre Tucker,WR115,WR,LV,24
Los Angeles Rams,DST3,DST,LAR,-
Sean Tucker,RB86,RB,TB,23
Harrison Butker,K2,K,KC,30
Denver Broncos,DST4,DST,DEN,-
Kimani Vidal,RB87,RB,LAC,23
Gabe Davis,WR116,WR,FA,26
Taysom Hill,TE45,TE,NO,35
Jaylin Lane,WR117,WR,WAS,23
Malachi Corley,WR118,WR,NYJ,23
Chimere Dike,WR119,WR,TEN,23
KeAndre Lambert-Smith,WR120,WR,LAC,23
Younghoe Koo,K3,K,ATL,31
Kenneth Gainwell,RB88,RB,PIT,26
Houston Texans,DST5,DST,HOU,-
Baltimore Ravens,DST6,DST,BAL,-
Erick All Jr.,TE46,TE,CIN,24
Zack Moss,RB89,RB,FA,27
Jake Moody,K4,K,SF,25
Tyler Bass,K5,K,BUF,28
Buffalo Bills,DST7,DST,BUF,-
Ka'imi Fairbairn,K6,K,HOU,31
Cameron Dicker,K7,K,LAC,25
Sincere McCormick,RB90,RB,LV,24
Minnesota Vikings,DST8,DST,MIN,-
Jalin Hyatt,WR121,WR,NYG,23
Dallas Cowboys,DST9,DST,DAL,-
Evan McPherson,K8,K,CIN,26
Chicago Bears,DST10,DST,CHI,-
Will Howard,QB37,QB,PIT,23
Raheem Mostert,RB91,RB,LV,33
Jake Elliott,K9,K,PHI,30
Will Reichard,K10,K,MIN,24
Will Levis,QB38,QB,TEN,26
Jahan Dotson,WR122,WR,PHI,25
Chris Boswell,K11,K,PIT,34
Daniel Carlson,K12,K,LV,30
Spencer Rattler,QB39,QB,NO,24
Matt Gay,K13,K,WAS,31
Cade Stover,TE47,TE,HOU,25
Jason Sanders,K14,K,MIA,29
Kansas City Chiefs,DST11,DST,KC,-
Curtis Samuel,WR123,WR,BUF,29
Devontez Walker,WR124,WR,BAL,24
Arizona Cardinals,DST12,DST,ARI,-
Joe Flacco,QB40,QB,CLE,40
Washington Commanders,DST13,DST,WAS,-
AJ Barner,TE48,TE,SEA,23
Jameis Winston,QB41,QB,NYG,31
Green Bay Packers,DST14,DST,GB,-
Ray-Ray McCloud III,WR125,WR,ATL,28
LeQuint Allen Jr.,RB92,RB,JAC,21
Wil Lutz,K15,K,DEN,31
John Metchie III,WR126,WR,HOU,25
Ricky White III,WR127,WR,SEA,23
Mason Rudolph,QB42,QB,PIT,30
Blake Grupe,K16,K,NO,26
Jalen Nailor,WR128,WR,MIN,26
Los Angeles Chargers,DST15,DST,LAC,-
Demarcus Robinson,WR129,WR,SF,30
Ty Johnson,RB93,RB,BUF,27
Detroit Lions,DST16,DST,DET,-
Atlanta Falcons,DST17,DST,ATL,-
Alexander Mattison,RB94,RB,MIA,27
Joshua Karty,K17,K,LAR,23
Darren Waller,TE49,TE,MIA,32
Jake Bates,K18,K,DET,26
Brandon McManus,K19,K,GB,34
Thomas Fidone II,TE50,TE,NYG,22
Isaiah Bond,WR130,WR,CLE,21
Arian Smith,WR131,WR,NYJ,23
Joe Milton III,QB43,QB,DAL,25
Darnell Washington,TE51,TE,PIT,24
New Orleans Saints,DST18,DST,NO,-
Miami Dolphins,DST19,DST,MIA,-
Dameon Pierce,RB95,RB,HOU,25
Mac Jones,QB44,QB,SF,26
New York Jets,DST20,DST,NYJ,-
Justin Tucker,K20,K,FA,35
San Francisco 49ers,DST21,DST,SF,-
Noah Brown,WR132,WR,WAS,29
Jacob Cowing,WR133,WR,SF,24
Cam Akers,RB96,RB,NO,26
Gardner Minshew II,QB45,QB,KC,29
Seattle Seahawks,DST22,DST,SEA,-
Dawson Knox,TE52,TE,BUF,28
A.J. Dillon,RB97,RB,PHI,27
New England Patriots,DST23,DST,NE,-
Dillon Gabriel,QB46,QB,CLE,24
Kenny Pickett,QB47,QB,CLE,27
Aidan O'Connell,QB48,QB,LV,26
Zamir White,RB98,RB,LV,25
Jordan Watkins,WR134,WR,SF,23
Dustin Hopkins,K21,K,CLE,34
Josh Reynolds,WR135,WR,NYJ,30
Cam Little,K22,K,JAC,22
KaVontae Turpin,WR136,WR,DAL,29
Luke Lachey,TE53,TE,HOU,24
Treylon Burks,WR137,WR,TEN,25
Kendrick Bourne,WR138,WR,NE,30
Chase McLaughlin,K23,K,TB,29
Jeremy Ruckert,TE54,TE,NYJ,25
Greg Zuerlein,K24,K,FA,37
Cleveland Browns,DST24,DST,CLE,-
Riley Leonard,QB49,QB,IND,22
Jonathan Mingo,WR139,WR,DAL,24
Ty Chandler,RB99,RB,MIN,27
Mitchell Evans,TE55,TE,CAR,22
Efton Chism III,WR140,WR,NE,23
Chris Rodriguez Jr.,RB100,RB,WAS,25
Sam Howell,QB50,QB,MIN,24
Hendon Hooker,QB51,QB,DET,27
Jason Myers,K25,K,SEA,34
Luke Schoonmaker,TE56,TE,DAL,26
Samaje Perine,RB101,RB,CIN,29
Cairo Santos,K26,K,CHI,33
Malik Willis,QB52,QB,GB,26
Las Vegas Raiders,DST25,DST,LV,-
Jelani Woods,TE57,TE,IND,26
Colby Parkinson,TE58,TE,LAR,26
Greg Dortch,WR141,WR,ARI,27
Phil Mafah,RB102,RB,DAL,22
Zach Wilson,QB53,QB,MIA,26
Gavin Bartholomew,TE59,TE,MIN,22
Jimmy Garoppolo,QB54,QB,LAR,33
Deshaun Watson,QB55,QB,CLE,29
Jake Bobo,WR142,WR,SEA,27
Austin Hooper,TE60,TE,NE,30
Marquez Valdes-Scantling,WR143,WR,SEA,30
Emanuel Wilson,RB103,RB,GB,26
Kalel Mullings,RB104,RB,TEN,22
Jake Browning,QB56,QB,CIN,29
Nick Nash,WR144,WR,ATL,25
Quinn Ewers,QB57,QB,MIA,22
Tommy Tremble,TE61,TE,CAR,25
Rasheen Ali,RB105,RB,BAL,24
Kyle McCord,QB58,QB,PHI,22
Tim Patrick,WR145,WR,DET,31
Zay Jones,WR146,WR,ARI,30
Hunter Renfrow,WR147,WR,CAR,29
Eddy Pineiro,K27,K,FA,29
Mack Hollins,WR148,WR,NE,31
Olamide Zaccheaus,WR149,WR,CHI,28
Daniel Bellinger,TE62,TE,NYG,24
Raheim Sanders,RB106,RB,LAC,23
Tennessee Titans,DST26,DST,TEN,-
Trey Lance,QB59,QB,LAC,25
Van Jefferson,WR150,WR,TEN,29
New York Giants,DST27,DST,NYG,-
Carson Steele,RB107,RB,KC,22
Cooper Rush,QB60,QB,BAL,31
Indianapolis Colts,DST28,DST,IND,-
Jared Wiley,TE63,TE,KC,24
Foster Moreau,TE64,TE,NO,28
Trey Sermon,RB108,RB,PIT,26
Gus Edwards,RB109,RB,FA,30
Konata Mumpfield,WR151,WR,LAR,22
Allen Lazard,WR152,WR,NYJ,29
Marcus Mariota,QB61,QB,WAS,31
Grant Calcaterra,TE65,TE,PHI,26
Jacoby Brissett,QB62,QB,ARI,32
Donovan Edwards,RB110,RB,NYJ,22
Cincinnati Bengals,DST29,DST,CIN,-
Xavier Hutchinson,WR153,WR,HOU,25
Tampa Bay Buccaneers,DST30,DST,TB,-
Johnny Wilson,WR154,WR,PHI,24
Kalif Raymond,WR155,WR,DET,31
Dylan Laube,RB111,RB,LV,25
Elijah Higgins,TE66,TE,ARI,24
Greg Dulcich,TE67,TE,NYG,25
Chris Brooks,RB112,RB,GB,25
Jaheim Bell,TE68,TE,NE,24
Trey Palmer,WR156,WR,TB,24
Pierre Strong Jr.,RB113,RB,CLE,26
Marcus Yarns,RB114,RB,NO,23
Andy Dalton,QB63,QB,CAR,37
Chad Ryland,K28,K,ARI,25
Clyde Edwards-Helaire,RB115,RB,NO,26
Drew Lock,QB64,QB,SEA,28
Davis Allen,TE69,TE,LAR,24
Emari Demercado,RB116,RB,ARI,26
Michael Carter,RB117,RB,ARI,26
Jacksonville Jaguars,DST31,DST,JAC,-
Israel Abanikanda,RB118,RB,GB,22
Josh Oliver,TE70,TE,MIN,28
Jake Briningstool,TE71,TE,KC,22
Carolina Panthers,DST32,DST,CAR,-
Rondale Moore,WR157,WR,MIN,25
Tyler Badie,RB119,RB,DEN,25
Kylen Granson,TE72,TE,PHI,27
JuJu Smith-Schuster,WR158,WR,KC,28
Adam Trautman,TE73,TE,DEN,28